Tue Sep  8 07:56:54 UTC 2026
4.20.728.124 I slot print_timing: id  0 | task 0 | n_gen =    250, tg =   5.32 t/s, tg_3s =   2.51 t/s
4.23.729.818 I slot print_timing: id  0 | task 0 | n_gen =    271, tg =   5.42 t/s, tg_3s =   7.00 t/s
4.26.795.359 I slot print_timing: id  0 | task 0 | n_gen =    291, tg =   5.48 t/s, tg_3s =   6.52 t/s
4.29.893.067 I slot print_timing: id  0 | task 0 | n_gen =    312, tg =   5.55 t/s, tg_3s =   6.78 t/s
4.36.145.673 I slot print_timing: id  0 | task 0 | n_gen =    331, tg =   5.30 t/s, tg_3s =   3.04 t/s
4.40.594.014 I slot print_timing: id  0 | task 0 | n_gen =    333, tg =   4.98 t/s, tg_3s =   0.45 t/s
4.43.599.170 I slot print_timing: id  0 | task 0 | n_gen =    350, tg =   5.01 t/s, tg_3s =   5.66 t/s
4.47.248.389 I slot print_timing: id  0 | task 0 | n_gen =    364, tg =   4.95 t/s, tg_3s =   3.84 t/s
4.54.200.387 I slot print_timing: id  0 | task 0 | n_gen =    382, tg =   4.74 t/s, tg_3s =   2.59 t/s
4.58.284.779 I slot print_timing: id  0 | task 0 | n_gen =    387, tg =   4.57 t/s, tg_3s =   1.22 t/s
{"pid":27813,"startTicks":"1104925","binary":"/data/data/com.termux/files/home/.cache/ac-pixel-gemma4-20260908/llama.cpp/build-pixel/bin/llama-server","args":["--model","/data/data/com.termux/files/home/.cache/ac-pixel-gemma4-20260908/models/gemma-4-E2B-it-Q4_0.gguf","--alias","google/gemma-4-E2B-it","--host","127.0.0.1","--port","19084","--ctx-size","4096","--threads","4","--threads-batch","4","--parallel","1","--n-gpu-layers","0","--jinja","--reasoning","off"],"startedAt":"2026-09-08T07:51:54.230Z","identityMatches":true,"status":"Name:\tllama-server\nUmask:\t0077\nState:\tS (sleeping)\nTgid:\t27813\nNgid:\t0\nPid:\t27813\nPPid:\t1\nTracerPid:\t0\nUid:\t10438\t10438\t10438\t10438\nGid:\t10438\t10438\t10438\t10438\nFDSize:\t64\nGroups:\t3003 9997 20438 50438 \nVmPeak:\t15818704 kB\nVmSize:\t15764780 kB\nVmLck:\t       0 kB\nVmPin:\t       0 kB\nVmHWM:\t 3176124 kB\nVmRSS:\t 1602268 kB\nRssAnon:\t 1553204 kB\nRssFile:\t   48752 kB\nRssShmem:\t     312 kB\nVmData:\t 1848524 kB\nVmStk:\t     136 kB\nVmExe:\t       4 kB\nVmLib:\t   25428 kB\nVmPTE:\t    9088 kB\nVmSwap:\t  131456 kB\nCoreDumping:\t0\nTHP_enabled:\t1\nThreads:\t16\nSigQ:\t0/41614\nSigPnd:\t0000000000000000\nShdPnd:\t0000000000000000\nSigBlk:\t0000000080000000\nSigIgn:\t0000002000001000\nSigCgt:\t0000004c4000c4fa\nCapInh:\t0000000000000000\nCapPrm:\t0000000000000000\nCapEff:\t0000000000000000\nCapBnd:\t0000000000000000\nCapAmb:\t0000000000000000\nNoNewPrivs:\t0\nSeccomp:\t2\nSeccomp_filters:\t1\nSpeculation_Store_Bypass:\tthread vulnerable\nSpeculationIndirectBranch:\tunknown\nCpus_allowed:\t0ff\nCpus_allowed_list:\t0-7\nMems_allowed:\t1\nMems_allowed_list:\t0\nvoluntary_ctxt_switches:\t1726\nnonvoluntary_ctxt_switches:\t19408\n"}
